length,number_of_partitions,optimal_weight,executions,indices_skipped
850,500,972,39667842,55478983
850,550,914,40775792,57033133
850,600,849,34536650,65181875
850,650,850,44825698,56174927
850,700,850,44270650,57509575
850,750,848,45946633,56235692
850,800,849,43763946,58567979
850,850,850,42912982,59441043
900,100,4410,5304661,30541589
900,150,2947,9628170,41277680
900,200,2240,14936290,49151660
900,250,1952,19458333,56059217
900,300,1654,24683113,60636537
900,350,1470,31043002,62576248
900,400,1337,33955933,66585417
900,450,1231,39296736,66914214
900,500,1060,41771137,68981913
900,550,1031,47415902,66876748
900,600,907,45554888,71399862
900,650,898,52878186,65986164
900,700,900,50785904,69360546
900,750,900,51677055,69248995
900,800,900,46837181,74490969
900,850,900,50626737,70851013
900,900,900,52070757,69429093
950,100,5014,5742855,34437120
950,150,3300,10137784,47104291
950,200,2554,15088076,57213599
950,250,2124,21708361,63775414
950,300,1864,28908291,68005084
950,350,1657,34033326,72682149
950,400,1527,38727807,76287268
950,450,1297,46151887,75785288
950,500,1193,48839856,78766919
950,550,1132,51377958,80770917
950,600,1028,53674749,82013726
950,650,950,48738647,89611928
950,700,950,59844877,80415298
950,750,950,63499873,78042402
950,800,950,63865348,78456527
950,850,950,64524308,78199667
950,900,950,62915506,79958069
950,950,950,63793381,79102294
